,학교명,년도,전형,과,모집인원,지원인원,경쟁률,평균점수
40,가천대,2016,가천프런티어,소프트웨어학과,8,92,11.5,3.47
41,가천대,2016,가천프런티어,컴퓨터공학과(자연),22,306,13.91,3.34
42,가천대,2016,가천프런티어,전자공학과,8,101,12.63,3.23
43,가천대,2016,가천프런티어,전자공학과(야),5,34,6.8,3.79
44,가천대,2016,가천프런티어,에너지IT학과,7,72,10.29,3.88
45,가천대,2016,가천프런티어,패션디자인,9,158,17.56,2.93
46,가천대,2016,가천프런티어,간호학과(자연),42,726,17.29,2.7
47,가천대,2016,가천프런티어,의용생체공학과,8,59,7.38,3.15
48,가천대,2016,가천프런티어,치위생학과,8,85,10.63,3.22
49,가천대,2016,가천프런티어,응급구조학과,8,124,15.5,3.42
50,가천대,2016,가천프런티어,방사선학과,8,62,7.75,3.47
51,가천대,2016,가천프런티어,물리치료학과,8,192,24,2.99
52,가천대,2016,가천프런티어,운동재활복지학과,6,174,29,3.87
53,가천대,2016,사회기여자,경영학트랙,7,103,14.71,3.27
54,가천대,2016,사회기여자,글로벌경제학과,3,47,15.67,3.8
55,가천대,2016,사회기여자,관광경영학과,2,54,27,3.32
56,가천대,2016,사회기여자,헬스케어경영학과,2,17,8.5,4.37
57,가천대,2016,사회기여자,행정학과,2,20,10,3.88
58,가천대,2016,사회기여자,언론영상광고학과,2,65,32.5,2.77
59,가천대,2016,사회기여자,사회복지학과,4,123,30.75,3.82
60,가천대,2016,사회기여자,유아교육학과,4,78,19.5,3.11
61,가천대,2016,사회기여자,한국어문학과,2,22,11,3.16
62,가천대,2016,사회기여자,영미어문학과,2,31,15.5,3.52
63,가천대,2016,사회기여자,동양어문학과,3,57,19,3.72
64,가천대,2016,사회기여자,법학과,3,33,11,3.01
65,가천대,2016,사회기여자,도시계획학과,2,24,12,3.82
66,가천대,2016,사회기여자,조경학과,2,15,7.5,3.75
67,가천대,2016,사회기여자,실내건축학과,2,33,16.5,4.6
68,가천대,2016,사회기여자,건축학과(5년제),2,39,19.5,4.01
69,가천대,2016,사회기여자,건축공학과,2,25,12.5,4.11
70,가천대,2016,사회기여자,설비.소방공학과,2,22,11,5.37
71,가천대,2016,사회기여자,전기공학과,2,18,9,4.37
72,가천대,2016,사회기여자,화공생명공학과,3,43,14.33,2.88
73,가천대,2016,사회기여자,기계공학과,2,35,17.5,3.43
74,가천대,2016,사회기여자,토목환경공학과,2,17,8.5,3.1
75,가천대,2016,사회기여자,산업경영공학과,2,20,10,3.84
76,가천대,2016,사회기여자,식품생물공학과,2,37,18.5,4.04
77,가천대,2016,사회기여자,식품영양학과,2,38,19,3.86
78,가천대,2016,사회기여자,컴퓨터공학과(자연),6,97,16.17,3.61
79,가천대,2016,사회기여자,전자공학과,3,59,19.67,3.74
80,가천대,2016,사회기여자,에너지IT학과,2,19,9.5,3.7
81,가천대,2016,사회기여자,패션디자인,3,52,17.33,4.13
82,가천대,2016,사회기여자,간호학과(자연),5,84,16.8,2.16
83,가천대,2016,사회기여자,의용생체공학과,1,12,12,4.1
84,가천대,2016,사회기여자,치위생학과,1,13,13,3.24
85,가천대,2016,사회기여자,응급구조학과,1,18,18,3.61
86,가천대,2016,사회기여자,방사선학과,1,11,11,3.89
87,가천대,2016,사회기여자,물리치료학과,1,15,15,2.54
88,가천대,2016,사회기여자,운동재활복지학과,1,15,15,4.37
89,가천대,2016,학생부우수자,경영학트랙,37,387,10.46,2.36
90,가천대,2016,학생부우수자,글로벌경영학트랙,28,556,19.86,2.55
91,가천대,2016,학생부우수자,경영학트랙(야),8,66,8.25,3.1
92,가천대,2016,학생부우수자,금융수학과,8,126,15.75,2.28
93,가천대,2016,학생부우수자,글로벌경제학과,16,129,8.06,2.76
94,가천대,2016,학생부우수자,관광경영학과,10,136,13.6,2.32
95,가천대,2016,학생부우수자,헬스케어경영학과,7,47,6.71,2.38
96,가천대,2016,학생부우수자,응용통계학과,10,71,7.1,2.42
97,가천대,2016,학생부우수자,행정학과,8,67,8.38,2.33
98,가천대,2016,학생부우수자,언론영상광고학과,10,100,10,2.41
99,가천대,2016,학생부우수자,사회복지학과,7,63,9,2.79
100,가천대,2016,학생부우수자,유아교육학과,7,67,9.57,2.27
101,가천대,2016,학생부우수자,한국어문학과,7,51,7.29,2.69
102,가천대,2016,학생부우수자,영미어문학과,7,84,12,2.08
103,가천대,2016,학생부우수자,영미어문학과(야),4,29,7.25,3.16
104,가천대,2016,학생부우수자,동양어문학과,15,114,7.6,2.77
105,가천대,2016,학생부우수자,유럽어문학과,8,56,7,3.27
106,가천대,2016,학생부우수자,법학과,17,112,6.59,2.56
107,가천대,2016,학생부우수자,경찰.안보학과,7,85,12.14,1.68
108,가천대,2016,학생부우수자,도시계획학과,8,153,19.13,2.76
109,가천대,2016,학생부우수자,조경학과,8,109,13.63,2.72
110,가천대,2016,학생부우수자,실내건축학과,8,95,11.88,2.53
111,가천대,2016,학생부우수자,건축학과(5년제),8,98,12.25,2.76
112,가천대,2016,학생부우수자,건축공학과,8,99,12.38,2.63
113,가천대,2016,학생부우수자,설비.소방공학과,15,265,17.67,3.25
114,가천대,2016,학생부우수자,전기공학과,6,97,16.17,2.36
115,가천대,2016,학생부우수자,화공생명공학과,15,132,8.8,2.2
116,가천대,2016,학생부우수자,기계공학과,7,97,13.86,2.19
117,가천대,2016,학생부우수자,토목환경공학과,9,92,10.22,3.04
118,가천대,2016,학생부우수자,산업경영공학과,15,139,9.27,2.68
119,가천대,2016,학생부우수자,식품생물공학과,7,59,8.43,2.33
120,가천대,2016,학생부우수자,바이오나노학과,9,88,9.78,2.34
121,가천대,2016,학생부우수자,생명과학과,7,53,7.57,2.7
122,가천대,2016,학생부우수자,나노물리학과,7,76,10.86,2.74
123,가천대,2016,학생부우수자,나노화학과,7,70,10,2.26
124,가천대,2016,학생부우수자,식품영양학과,10,101,10.1,2.67
125,가천대,2016,학생부우수자,소프트웨어학과,10,281,28.1,2.5
126,가천대,2016,학생부우수자,컴퓨터공학과(자연),13,215,16.54,2.5
127,가천대,2016,학생부우수자,컴퓨터공학과(인문),14,98,7,2.56
128,가천대,2016,학생부우수자,전자공학과,12,133,11.08,2.38
129,가천대,2016,학생부우수자,에너지IT학과,7,67,9.57,2.47
130,가천대,2016,학생부우수자,한의예과(자연),10,323,32.3,1.76
131,가천대,2016,학생부우수자,패션디자인,8,95,11.88,2.71
132,가천대,2016,학생부우수자,자유전공(인문),10,77,7.7,2.86
133,가천대,2016,학생부우수자,간호학과(자연),20,204,10.2,1.57
134,가천대,2016,학생부우수자,간호학과(인문),20,220,11,1.44
135,가천대,2016,학생부우수자,의용생체공학과,6,51,8.5,2.55
136,가천대,2016,학생부우수자,치위생학과,6,72,12,1.9
137,가천대,2016,학생부우수자,응급구조학과,6,69,11.5,2.17
138,가천대,2016,학생부우수자,방사선학과,6,74,12.33,1.89
139,가천대,2016,학생부우수자,물리치료학과,6,99,16.5,1.86
140,가천대,2016,학생부우수자,운동재활복지학과,5,139,27.8,2.57
141,가천대,2016,학석사통합(5년제),전기공학과,6,30,5,3.7
142,가천대,2016,학석사통합(5년제),화공생명공학과,12,76,6.33,3.18
143,가천대,2016,학석사통합(5년제),컴퓨터공학과(자연),22,103,4.68,3.82
144,가천대,2016,학석사통합(5년제),전자공학과,10,50,5,4.09
145,가천대,2016,가천바람개비,경영학트랙,15,192,12.8,2.57
146,가천대,2016,가천바람개비,글로벌경영학트랙,7,91,13,3.14
147,가천대,2016,가천바람개비,금융수학과,6,56,9.33,2.77
148,가천대,2016,가천바람개비,글로벌경제학과,7,84,12,3.19
149,가천대,2016,가천바람개비,관광경영학과,5,131,26.2,3.29
150,가천대,2016,가천바람개비,헬스케어경영학과,6,54,9,2.99
151,가천대,2016,가천바람개비,응용통계학과,5,46,9.2,3.01
152,가천대,2016,가천바람개비,행정학과,5,72,14.4,2.72
153,가천대,2016,가천바람개비,언론영상광고학과,5,185,37,2.32
154,가천대,2016,가천바람개비,사회복지학과,5,165,33,3.01
155,가천대,2016,가천바람개비,유아교육학과,6,192,32,2.63
156,가천대,2016,가천바람개비,한국어문학과,5,76,15.2,2.78
157,가천대,2016,가천바람개비,영미어문학과,5,66,13.2,3.11
158,가천대,2016,가천바람개비,동양어문학과,9,121,13.44,3.08
159,가천대,2016,가천바람개비,유럽어문학과,5,55,11,2.94
160,가천대,2016,가천바람개비,법학과,8,87,10.88,3.43
161,가천대,2016,가천바람개비,경찰.안보학과,5,129,25.8,2.86
162,가천대,2016,가천바람개비,도시계획학과,5,35,7,3.75
163,가천대,2016,가천바람개비,조경학과,5,33,6.6,3.86
164,가천대,2016,가천바람개비,실내건축학과,5,50,10,3.47
165,가천대,2016,가천바람개비,건축학과(5년제),5,61,12.2,2.76
166,가천대,2016,가천바람개비,건축공학과,5,37,7.4,3.27
167,가천대,2016,가천바람개비,설비.소방공학과,5,36,7.2,3.82
168,가천대,2016,가천바람개비,전기공학과,5,41,8.2,3.23
169,가천대,2016,가천바람개비,화공생명공학과,10,150,15,2.66
170,가천대,2016,가천바람개비,기계공학과,6,94,15.67,3.3
171,가천대,2016,가천바람개비,토목환경공학과,6,43,7.17,3.37
172,가천대,2016,가천바람개비,산업경영공학과,7,53,7.57,3.47
173,가천대,2016,가천바람개비,식품생물공학과,6,79,13.17,3.42
174,가천대,2016,가천바람개비,바이오나노학과,7,63,9,3.07
175,가천대,2016,가천바람개비,생명과학과,7,104,14.86,2.55
176,가천대,2016,가천바람개비,나노물리학과,7,35,5,3.38
177,가천대,2016,가천바람개비,나노화학과,5,62,12.4,2.75
178,가천대,2016,가천바람개비,식품영양학과,6,91,15.17,3.45
179,가천대,2016,가천바람개비,소프트웨어학과,6,55,9.17,3.01
180,가천대,2016,가천바람개비,컴퓨터공학과(자연),5,79,15.8,2.79
181,가천대,2016,가천바람개비,컴퓨터공학과(인문),5,42,8.4,3.23
182,가천대,2016,가천바람개비,전자공학과,7,83,11.86,2.96
183,가천대,2016,가천바람개비,에너지IT학과,5,39,7.8,3.4
184,가천대,2016,가천바람개비,패션디자인,6,101,16.83,3.09
185,가천대,2016,가천바람개비,간호학과(자연),15,396,26.4,2.7
186,가천대,2016,가천바람개비,간호학과(인문),15,405,27,2.65
187,가천대,2016,가천바람개비,의용생체공학과,5,46,9.2,2.97
188,가천대,2016,가천바람개비,치위생학과,5,81,16.2,2.95
189,가천대,2016,가천바람개비,응급구조학과,5,81,16.2,2.9
190,가천대,2016,가천바람개비,방사선학과,5,56,11.2,3.1
191,가천대,2016,가천바람개비,물리치료학과,5,136,27.2,2.58
192,가천대,2016,가천바람개비,운동재활복지학과,5,103,20.6,3.52
193,가천대,2016,농어촌(종합),경영학트랙,3,34,11.33,2.91
194,가천대,2016,농어촌(종합),글로벌경제학과,1,7,7,2.43
195,가천대,2016,농어촌(종합),관광경영학과,3,31,10.33,3.03
196,가천대,2016,농어촌(종합),헬스케어경영학과,1,5,5,3.24
197,가천대,2016,농어촌(종합),응용통계학과,1,10,10,2.32
198,가천대,2016,농어촌(종합),행정학과,2,10,5,3.32
199,가천대,2016,농어촌(종합),언론영상광고학과,2,32,16,2.78
200,가천대,2016,농어촌(종합),사회복지학과,3,43,14.33,2.83
201,가천대,2016,농어촌(종합),유아교육학과,3,23,7.67,2.87
202,가천대,2016,농어촌(종합),한국어문학과,2,16,8,3.08
203,가천대,2016,농어촌(종합),영미어문학과,2,23,11.5,2.34
204,가천대,2016,농어촌(종합),동양어문학과,1,6,6,NA
205,가천대,2016,농어촌(종합),법학과,1,9,9,3.7
206,가천대,2016,농어촌(종합),건축공학과,2,10,5,3.73
207,가천대,2016,농어촌(종합),전기공학과,2,8,4,3.47
208,가천대,2016,농어촌(종합),화공생명공학과,2,17,8.5,2.46
209,가천대,2016,농어촌(종합),기계공학과,2,18,9,3.11
210,가천대,2016,농어촌(종합),토목환경공학과,1,6,6,NA
211,가천대,2016,농어촌(종합),식품생물공학과,1,10,10,3.2
212,가천대,2016,농어촌(종합),식품영양학과,1,12,12,4.11
213,가천대,2016,농어촌(종합),컴퓨터공학과(자연),2,12,6,3.36
214,가천대,2016,농어촌(종합),전자공학과,1,4,4,3.61
215,가천대,2016,농어촌(종합),간호학과(자연),3,24,8,2.49
216,가천대,2016,농어촌(종합),치위생학과,2,13,6.5,4.3
217,가천대,2016,농어촌(종합),응급구조학과,2,15,7.5,3.38
218,가천대,2016,농어촌(종합),방사선학과,2,10,5,3.12
219,가천대,2016,농어촌(종합),물리치료학과,2,18,9,3.46
220,가천대,2016,농어촌(종합),운동재활복지학과,1,15,15,3.18
221,가천대,2016,교육기회균형,경영학트랙,3,35,11.67,3.71
222,가천대,2016,교육기회균형,경영학트랙(야),1,7,7,5.34
223,가천대,2016,교육기회균형,글로벌경제학과,3,25,8.33,3.9
224,가천대,2016,교육기회균형,관광경영학과,3,30,10,3.4
225,가천대,2016,교육기회균형,행정학과,2,15,7.5,2.92
226,가천대,2016,교육기회균형,언론영상광고학과,2,37,18.5,2.91
227,가천대,2016,교육기회균형,사회복지학과,3,65,21.67,3.08
228,가천대,2016,교육기회균형,유아교육학과,2,24,12,3.75
229,가천대,2016,교육기회균형,한국어문학과,2,24,12,3.76
230,가천대,2016,교육기회균형,영미어문학과,1,10,10,3.73
231,가천대,2016,교육기회균형,동양어문학과,1,15,15,3.02
232,가천대,2016,교육기회균형,법학과,2,14,7,3.69
233,가천대,2016,교육기회균형,도시계획학과,1,10,10,3.85
234,가천대,2016,교육기회균형,조경학과,1,7,7,5.15
235,가천대,2016,교육기회균형,건축공학과,1,10,10,4.93
236,가천대,2016,교육기회균형,전기공학과,2,12,6,4.42
237,가천대,2016,교육기회균형,화공생명공학과,3,28,9.33,2.76
238,가천대,2016,교육기회균형,기계공학과,2,21,10.5,3.57
239,가천대,2016,교육기회균형,식품영양학과,2,14,7,3.75
240,가천대,2016,교육기회균형,컴퓨터공학과(자연),2,33,16.5,3.47
241,가천대,2016,교육기회균형,전자공학과,2,19,9.5,3.31
242,가천대,2016,교육기회균형,의용생체공학과,1,5,5,3.85
243,가천대,2016,교육기회균형,치위생학과,2,12,6,5.57
244,가천대,2016,교육기회균형,응급구조학과,2,34,17,3.81
245,가천대,2016,교육기회균형,방사선학과,2,14,7,4.01
246,가천대,2016,교육기회균형,물리치료학과,2,35,17.5,2.65
247,가천대,2016,교육기회균형,운동재활복지학과,1,25,25,4.33
248,가천대,2016,단원고특별전형,경영학트랙,1,1,1,0
249,가천대,2016,단원고특별전형,관광경영학과,1,3,3,3.86
250,가천대,2016,단원고특별전형,사회복지학과,1,1,1,0
251,가천대,2016,단원고특별전형,유아교육학과,1,2,2,4.03
252,가천대,2016,단원고특별전형,간호학과(자연),1,2,2,2.94
253,가천대,2016,단원고특별전형,물리치료학과,1,1,1,4.44
254,가천대,2017,가천의예전형,의예과,15,572,38.13,1.85
255,가천대,2017,가천프런티어,경영학트랙,26,292,11.23,3.21
256,가천대,2017,가천프런티어,글로벌경영학트랙,15,123,8.2,3.3
257,가천대,2017,가천프런티어,경영학트랙(야),4,38,9.5,3.7
258,가천대,2017,가천프런티어,금융수학과,6,59,9.83,3.34
259,가천대,2017,가천프런티어,글로벌경제학과,12,88,7.33,3.2
260,가천대,2017,가천프런티어,글로벌경제학과(야),6,30,5,4.04
261,가천대,2017,가천프런티어,관광경영학과,10,266,26.6,4.27
262,가천대,2017,가천프런티어,헬스케어경영학과,6,50,8.33,3.49
263,가천대,2017,가천프런티어,응용통계학과,5,51,10.2,3.56
264,가천대,2017,가천프런티어,행정학과,8,64,8,3.51
265,가천대,2017,가천프런티어,미디어커뮤니케이션학과,11,324,29.45,2.88
266,가천대,2017,가천프런티어,사회복지학과,11,332,30.18,3.68
267,가천대,2017,가천프런티어,유아교육학과,12,245,20.42,3.35
268,가천대,2017,가천프런티어,한국어문학과,12,204,17,2.84
269,가천대,2017,가천프런티어,영미어문학과,9,176,19.56,4.22
270,가천대,2017,가천프런티어,영미어문학과(야),3,29,9.67,3.9
271,가천대,2017,가천프런티어,동양어문학과,12,184,15.33,3.63
272,가천대,2017,가천프런티어,유럽어문학과,10,100,10,3.5
273,가천대,2017,가천프런티어,법학과,12,142,11.83,3.29
274,가천대,2017,가천프런티어,경찰.안보학과,10,181,18.1,2.86
275,가천대,2017,가천프런티어,도시계획학과,5,59,11.8,4.6
276,가천대,2017,가천프런티어,조경학과,4,44,11,4.45
277,가천대,2017,가천프런티어,실내건축학과,5,84,16.8,3.95
278,가천대,2017,가천프런티어,건축학과(5년제),6,157,26.17,4.09
279,가천대,2017,가천프런티어,건축공학과,6,82,13.67,3.43
280,가천대,2017,가천프런티어,설비.소방공학과,8,76,9.5,3.51
281,가천대,2017,가천프런티어,전기공학과,4,32,8,3.18
282,가천대,2017,가천프런티어,화공생명공학과,10,122,12.2,2.62
283,가천대,2017,가천프런티어,기계공학과,8,229,28.63,2.85
284,가천대,2017,가천프런티어,토목환경공학과,6,65,10.83,3.84
285,가천대,2017,가천프런티어,토목환경공학과(야),5,41,8.2,4.6
286,가천대,2017,가천프런티어,산업경영공학과,6,57,9.5,3.22
287,가천대,2017,가천프런티어,식품생물공학과,6,113,18.83,3.09
288,가천대,2017,가천프런티어,바이오나노학과,6,88,14.67,2.88
289,가천대,2017,가천프런티어,생명과학과,8,220,27.5,2.6
290,가천대,2017,가천프런티어,나노물리학과,12,67,5.58,3.48
291,가천대,2017,가천프런티어,나노화학과,10,130,13,3.19
292,가천대,2017,가천프런티어,식품영양학과,6,116,19.33,3.39
293,가천대,2017,가천프런티어,소프트웨어학과,15,162,10.8,3.27
294,가천대,2017,가천프런티어,컴퓨터공학과(자연),15,188,12.53,3.35
295,가천대,2017,가천프런티어,전자공학과,9,94,10.44,3.49
296,가천대,2017,가천프런티어,전자공학과(야),5,20,4,4.38
297,가천대,2017,가천프런티어,에너지IT학과,7,87,12.43,3.75
298,가천대,2017,가천프런티어,패션디자인,7,111,15.86,3.2
299,가천대,2017,가천프런티어,간호학과(자연),42,878,20.9,2.45
300,가천대,2017,가천프런티어,의용생체공학과,7,68,9.71,3.41
301,가천대,2017,가천프런티어,치위생학과,7,76,10.86,3.58
302,가천대,2017,가천프런티어,응급구조학과,7,159,22.71,3.28
303,가천대,2017,가천프런티어,방사선학과,7,96,13.71,3.55
304,가천대,2017,가천프런티어,물리치료학과,7,159,22.71,2.71
305,가천대,2017,가천프런티어,운동재활복지학과,6,156,26,3.41
306,가천대,2017,사회기여자,경영학트랙,7,61,8.71,3.59
307,가천대,2017,사회기여자,글로벌경제학과,3,31,10.33,3.23
308,가천대,2017,사회기여자,관광경영학과,2,36,18,3.2
309,가천대,2017,사회기여자,헬스케어경영학과,2,24,12,3.75
310,가천대,2017,사회기여자,행정학과,2,29,14.5,3.07
311,가천대,2017,사회기여자,미디어커뮤니케이션학과,2,38,19,2.81
312,가천대,2017,사회기여자,사회복지학과,3,69,23,3.35
313,가천대,2017,사회기여자,유아교육학과,4,72,18,2.93
314,가천대,2017,사회기여자,한국어문학과,2,18,9,3.76
315,가천대,2017,사회기여자,영미어문학과,2,20,10,3.1
316,가천대,2017,사회기여자,동양어문학과,3,23,7.67,3.03
317,가천대,2017,사회기여자,법학과,3,25,8.33,3.78
318,가천대,2017,사회기여자,도시계획학과,2,13,6.5,5.02
319,가천대,2017,사회기여자,조경학과,2,12,6,3.73
320,가천대,2017,사회기여자,실내건축학과,2,42,21,4.83
321,가천대,2017,사회기여자,건축학과(5년제),2,33,16.5,3.71
322,가천대,2017,사회기여자,건축공학과,2,24,12,4.28
323,가천대,2017,사회기여자,설비.소방공학과,2,51,25.5,3.87
324,가천대,2017,사회기여자,전기공학과,2,29,14.5,3.74
325,가천대,2017,사회기여자,화공생명공학과,2,32,16,2.87
326,가천대,2017,사회기여자,기계공학과,2,30,15,3.01
327,가천대,2017,사회기여자,토목환경공학과,2,14,7,4.42
328,가천대,2017,사회기여자,산업경영공학과,2,17,8.5,3.94
329,가천대,2017,사회기여자,식품생물공학과,2,47,23.5,3.46
330,가천대,2017,사회기여자,식품영양학과,2,24,12,3.11
331,가천대,2017,사회기여자,컴퓨터공학과(자연),4,60,15,3.31
332,가천대,2017,사회기여자,전자공학과,3,35,11.67,3.3
333,가천대,2017,사회기여자,에너지IT학과,2,17,8.5,5.22
334,가천대,2017,사회기여자,패션디자인,2,34,17,3.45
335,가천대,2017,학생부우수자,경영학트랙,33,248,7.52,2.3
336,가천대,2017,학생부우수자,글로벌경영학트랙,25,216,8.64,2.47
337,가천대,2017,학생부우수자,경영학트랙(야),7,56,8,3.17
338,가천대,2017,학생부우수자,금융수학과,7,47,6.71,2.93
339,가천대,2017,학생부우수자,글로벌경제학과,15,143,9.53,2.41
340,가천대,2017,학생부우수자,관광경영학과,10,77,7.7,2.09
341,가천대,2017,학생부우수자,헬스케어경영학과,8,46,5.75,2.64
342,가천대,2017,학생부우수자,응용통계학과,8,58,7.25,2.36
343,가천대,2017,학생부우수자,행정학과,9,69,7.67,2.24
344,가천대,2017,학생부우수자,미디어커뮤니케이션학과,10,138,13.8,2.05
345,가천대,2017,학생부우수자,사회복지학과,6,74,12.33,2.48
346,가천대,2017,학생부우수자,유아교육학과,6,56,9.33,1.98
347,가천대,2017,학생부우수자,한국어문학과,6,66,11,2.47
348,가천대,2017,학생부우수자,영미어문학과,7,47,6.71,2.79
349,가천대,2017,학생부우수자,영미어문학과(야),5,24,4.8,3.3
350,가천대,2017,학생부우수자,동양어문학과,10,117,11.7,2.4
351,가천대,2017,학생부우수자,유럽어문학과,7,138,19.71,2.69
352,가천대,2017,학생부우수자,법학과,10,88,8.8,2.4
353,가천대,2017,학생부우수자,경찰.안보학과,5,42,8.4,1.68
354,가천대,2017,학생부우수자,도시계획학과,6,79,13.17,2.6
355,가천대,2017,학생부우수자,조경학과,6,48,8,3.26
356,가천대,2017,학생부우수자,실내건축학과,6,61,10.17,2.57
357,가천대,2017,학생부우수자,건축학과(5년제),7,85,12.14,2.76
358,가천대,2017,학생부우수자,건축공학과,6,48,8,2.78
359,가천대,2017,학생부우수자,설비.소방공학과,10,144,14.4,2.85
360,가천대,2017,학생부우수자,전기공학과,6,70,11.67,2.54
361,가천대,2017,학생부우수자,화공생명공학과,10,131,13.1,1.91
362,가천대,2017,학생부우수자,기계공학과,6,68,11.33,2.36
363,가천대,2017,학생부우수자,토목환경공학과,6,71,11.83,3.21
364,가천대,2017,학생부우수자,산업경영공학과,7,92,13.14,2.46
365,가천대,2017,학생부우수자,식품생물공학과,6,54,9,2.65
366,가천대,2017,학생부우수자,바이오나노학과,7,58,8.29,2.4
367,가천대,2017,학생부우수자,생명과학과,7,108,15.43,2.1
368,가천대,2017,학생부우수자,나노물리학과,7,53,7.57,3.25
369,가천대,2017,학생부우수자,나노화학과,6,52,8.67,2.57
370,가천대,2017,학생부우수자,식품영양학과,8,70,8.75,2.28
371,가천대,2017,학생부우수자,소프트웨어학과,15,149,9.93,2.35
372,가천대,2017,학생부우수자,컴퓨터공학과(자연),11,146,13.27,2.31
373,가천대,2017,학생부우수자,컴퓨터공학과(인문),7,53,7.57,2.37
374,가천대,2017,학생부우수자,전자공학과,10,109,10.9,2.41
375,가천대,2017,학생부우수자,에너지IT학과,8,68,8.5,2.71
376,가천대,2017,학생부우수자,한의예과(자연),10,424,42.4,1.79
377,가천대,2017,학생부우수자,패션디자인,8,70,8.75,3.54
378,가천대,2017,학생부우수자,자유전공(인문),9,108,12,2.26
379,가천대,2017,학생부우수자,간호학과(자연),16,152,9.5,1.54
380,가천대,2017,학생부우수자,간호학과(인문),16,139,8.69,1.43
381,가천대,2017,학생부우수자,의용생체공학과,5,76,15.2,1.88
382,가천대,2017,학생부우수자,치위생학과,5,36,7.2,2.19
383,가천대,2017,학생부우수자,응급구조학과,5,74,14.8,1.99
384,가천대,2017,학생부우수자,방사선학과,5,48,9.6,2.02
385,가천대,2017,학생부우수자,물리치료학과,5,69,13.8,1.71
386,가천대,2017,학생부우수자,운동재활복지학과,5,70,14,2.22
387,가천대,2017,학석사통합(5년제),전기공학과,6,28,4.67,4.1
388,가천대,2017,학석사통합(5년제),화공생명공학과,12,136,11.33,2.85
389,가천대,2017,학석사통합(5년제),컴퓨터공학과(자연),25,181,7.24,3.7
390,가천대,2017,학석사통합(5년제),전자공학과,10,62,6.2,4.1
391,가천대,2017,가천바람개비,경영학트랙,15,160,10.67,2.85
392,가천대,2017,가천바람개비,글로벌경영학트랙,7,116,16.57,2.98
393,가천대,2017,가천바람개비,금융수학과,4,38,9.5,2.98
394,가천대,2017,가천바람개비,글로벌경제학과,7,96,13.71,3
395,가천대,2017,가천바람개비,관광경영학과,5,223,44.6,2.68
396,가천대,2017,가천바람개비,헬스케어경영학과,6,44,7.33,3.07
397,가천대,2017,가천바람개비,응용통계학과,5,54,10.8,3.14
398,가천대,2017,가천바람개비,행정학과,5,53,10.6,2.68
399,가천대,2017,가천바람개비,미디어커뮤니케이션학과,5,114,22.8,2.5
